date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,industry_code,industry_name,industry_rank_ma20,industry_breadth_ma20,industry_above_count_ma20,industry_valid_count_ma20,ranked_industry_count_ma20,top1_tie_count_ma20,industry_start_date,industry_end_date,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2017-01-17,single_industry_top1_801010,top,0.05333333333,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,28,0.05333333333,4,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-18,single_industry_top1_801010,top,0.06666666667,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,26,0.06666666667,5,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-19,single_industry_top1_801010,top,0.09333333333,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.09333333333,7,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-20,single_industry_top1_801010,top,0.1333333333,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,26,0.1333333333,10,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-23,single_industry_top1_801010,top,0.1818181818,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,25,0.1818181818,14,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-24,single_industry_top1_801010,top,0.1688311688,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.1688311688,13,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-25,single_industry_top1_801010,top,0.2077922078,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,22,0.2077922078,16,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-26,single_industry_top1_801010,top,0.2597402597,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,22,0.2597402597,20,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-03,single_industry_top1_801010,top,0.2337662338,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,20,0.2337662338,18,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-06,single_industry_top1_801010,top,0.3896103896,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,16,0.3896103896,30,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-07,single_industry_top1_801010,top,0.4155844156,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,16,0.4155844156,32,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-08,single_industry_top1_801010,top,0.4805194805,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,24,0.4805194805,37,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-09,single_industry_top1_801010,top,0.6493506494,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,27,0.6493506494,50,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-10,single_industry_top1_801010,top,0.7272727273,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,22,0.7272727273,56,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-13,single_industry_top1_801010,top,0.8051948052,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,24,0.8051948052,62,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-14,single_industry_top1_801010,top,0.8,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.8,60,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-15,single_industry_top1_801010,top,0.6351351351,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,25,0.6351351351,47,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-16,single_industry_top1_801010,top,0.6849315068,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,24,0.6849315068,50,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-17,single_industry_top1_801010,top,0.5694444444,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,24,0.5694444444,41,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-20,single_industry_top1_801010,top,0.5833333333,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,26,0.5833333333,42,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-21,single_industry_top1_801010,top,0.7027027027,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,28,0.7027027027,52,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-22,single_industry_top1_801010,top,0.7432432432,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,25,0.7432432432,55,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-23,single_industry_top1_801010,top,0.7333333333,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,24,0.7333333333,55,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-24,single_industry_top1_801010,top,0.7733333333,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,24,0.7733333333,58,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-27,single_industry_top1_801010,top,0.6266666667,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,25,0.6266666667,47,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-02-28,single_industry_top1_801010,top,0.6184210526,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,26,0.6184210526,47,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-01,single_industry_top1_801010,top,0.7012987013,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,17,0.7012987013,54,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-02,single_industry_top1_801010,top,0.3896103896,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,28,0.3896103896,30,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-03,single_industry_top1_801010,top,0.4736842105,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,20,0.4736842105,36,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-06,single_industry_top1_801010,top,0.5789473684,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.5789473684,44,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-07,single_industry_top1_801010,top,0.6533333333,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,17,0.6533333333,49,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-08,single_industry_top1_801010,top,0.6315789474,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,16,0.6315789474,48,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-09,single_industry_top1_801010,top,0.4675324675,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,16,0.4675324675,36,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-10,single_industry_top1_801010,top,0.4155844156,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,18,0.4155844156,32,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-13,single_industry_top1_801010,top,0.3552631579,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.3552631579,27,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-14,single_industry_top1_801010,top,0.3815789474,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,21,0.3815789474,29,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-15,single_industry_top1_801010,top,0.3066666667,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,22,0.3066666667,23,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-16,single_industry_top1_801010,top,0.3918918919,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.3918918919,29,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-17,single_industry_top1_801010,top,0.3157894737,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,19,0.3157894737,24,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-20,single_industry_top1_801010,top,0.3766233766,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,19,0.3766233766,29,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-21,single_industry_top1_801010,top,0.3684210526,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,20,0.3684210526,28,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-22,single_industry_top1_801010,top,0.3684210526,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,16,0.3684210526,28,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-23,single_industry_top1_801010,top,0.3684210526,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,16,0.3684210526,28,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-24,single_industry_top1_801010,top,0.3896103896,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,17,0.3896103896,30,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-27,single_industry_top1_801010,top,0.3896103896,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,18,0.3896103896,30,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-28,single_industry_top1_801010,top,0.3896103896,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,12,0.3896103896,30,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-29,single_industry_top1_801010,top,0.2727272727,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,18,0.2727272727,21,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-30,single_industry_top1_801010,top,0.2207792208,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,11,0.2207792208,17,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-03-31,single_industry_top1_801010,top,0.1688311688,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,19,0.1688311688,13,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-05,single_industry_top1_801010,top,0.3766233766,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,12,0.3766233766,29,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-06,single_industry_top1_801010,top,0.3246753247,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,21,0.3246753247,25,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-07,single_industry_top1_801010,top,0.3246753247,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,22,0.3246753247,25,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-10,single_industry_top1_801010,top,0.2077922078,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,25,0.2077922078,16,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-11,single_industry_top1_801010,top,0.2727272727,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,21,0.2727272727,21,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-12,single_industry_top1_801010,top,0.2727272727,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,17,0.2727272727,21,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-13,single_industry_top1_801010,top,0.2857142857,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,19,0.2857142857,22,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-14,single_industry_top1_801010,top,0.2207792208,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,16,0.2207792208,17,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-17,single_industry_top1_801010,top,0.2,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,13,0.2,15,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-18,single_industry_top1_801010,top,0.16,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,15,0.16,12,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-19,single_industry_top1_801010,top,0.09333333333,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,18,0.09333333333,7,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-20,single_industry_top1_801010,top,0.12,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,14,0.12,9,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-21,single_industry_top1_801010,top,0.09459459459,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,19,0.09459459459,7,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-24,single_industry_top1_801010,top,0.06666666667,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,15,0.06666666667,5,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-25,single_industry_top1_801010,top,0.1052631579,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,13,0.1052631579,8,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-26,single_industry_top1_801010,top,0.1447368421,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,10,0.1447368421,11,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-27,single_industry_top1_801010,top,0.1466666667,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,11,0.1466666667,11,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-04-28,single_industry_top1_801010,top,0.16,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,13,0.16,12,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-02,single_industry_top1_801010,top,0.1621621622,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,15,0.1621621622,12,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-03,single_industry_top1_801010,top,0.1756756757,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,10,0.1756756757,13,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-04,single_industry_top1_801010,top,0.1756756757,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,10,0.1756756757,13,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-05,single_industry_top1_801010,top,0.1216216216,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,20,0.1216216216,9,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-08,single_industry_top1_801010,top,0.06756756757,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.06756756757,5,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-09,single_industry_top1_801010,top,0.06756756757,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,27,0.06756756757,5,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-10,single_industry_top1_801010,top,0.09459459459,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,12,0.09459459459,7,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-11,single_industry_top1_801010,top,0.1081081081,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,10,0.1081081081,8,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-12,single_industry_top1_801010,top,0.1351351351,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,11,0.1351351351,10,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-15,single_industry_top1_801010,top,0.1506849315,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,15,0.1506849315,11,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-16,single_industry_top1_801010,top,0.2328767123,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,21,0.2328767123,17,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-17,single_industry_top1_801010,top,0.2876712329,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,20,0.2876712329,21,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-18,single_industry_top1_801010,top,0.2054794521,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,26,0.2054794521,15,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-19,single_industry_top1_801010,top,0.2602739726,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,21,0.2602739726,19,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-22,single_industry_top1_801010,top,0.1917808219,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,20,0.1917808219,14,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-23,single_industry_top1_801010,top,0.09589041096,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.09589041096,7,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-24,single_industry_top1_801010,top,0.09589041096,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,25,0.09589041096,7,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-25,single_industry_top1_801010,top,0.1506849315,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,24,0.1506849315,11,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-26,single_industry_top1_801010,top,0.1780821918,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.1780821918,13,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-05-31,single_industry_top1_801010,top,0.1527777778,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,25,0.1527777778,11,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-01,single_industry_top1_801010,top,0.125,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,19,0.125,9,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-02,single_industry_top1_801010,top,0.1527777778,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.1527777778,11,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-05,single_industry_top1_801010,top,0.1830985915,False,82,71,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,26,0.1830985915,13,71,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-06,single_industry_top1_801010,top,0.2676056338,False,82,71,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,24,0.2676056338,19,71,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-07,single_industry_top1_801010,top,0.5833333333,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,18,0.5833333333,42,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-08,single_industry_top1_801010,top,0.5972222222,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,17,0.5972222222,43,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-09,single_industry_top1_801010,top,0.6666666667,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,12,0.6666666667,48,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-12,single_industry_top1_801010,top,0.4189189189,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,14,0.4189189189,31,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-13,single_industry_top1_801010,top,0.5540540541,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,19,0.5540540541,41,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-14,single_industry_top1_801010,top,0.6621621622,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,12,0.6621621622,49,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-15,single_industry_top1_801010,top,0.8378378378,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,10,0.8378378378,62,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-16,single_industry_top1_801010,top,0.8378378378,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,7,0.8378378378,62,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-19,single_industry_top1_801010,top,0.8918918919,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,6,0.8918918919,66,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-20,single_industry_top1_801010,top,0.8783783784,False,82,74,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,10,0.8783783784,65,74,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-21,single_industry_top1_801010,top,0.9315068493,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,2,0.9315068493,68,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-22,single_industry_top1_801010,top,0.6805555556,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,6,0.6805555556,49,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-23,single_industry_top1_801010,top,0.6666666667,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,6,0.6666666667,48,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-26,single_industry_top1_801010,top,0.7916666667,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,9,0.7916666667,57,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-27,single_industry_top1_801010,top,0.7777777778,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,11,0.7777777778,56,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-28,single_industry_top1_801010,top,0.6944444444,False,82,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,9,0.6944444444,50,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-29,single_industry_top1_801010,top,0.6666666667,False,81,72,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,12,0.6666666667,48,72,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-06-30,single_industry_top1_801010,top,0.661971831,False,81,71,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,14,0.661971831,47,71,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-07-03,single_industry_top1_801010,top,0.7671232877,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,8,0.7671232877,56,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-07-04,single_industry_top1_801010,top,0.7260273973,False,82,73,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,8,0.7260273973,53,73,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
